name,value
软件服务,177
元器件,174
电气设备,169
化工原料,158
汽车配件,135
专用机械,128
通信设备,112
化学制药,101
建筑工程,86
机械基件,72
医疗保健,71
中成药,69
环境保护,69
互联网,68
区域地产,67
电器仪表,60
食品,59
服饰,56
半导体,51
影视音像,48
塑料,45
生物制药,43
百货,43
证券,43
农药化肥,43
家用电器,40
纺织,39
仓储物流,38
广告包装,38
家居用品,37
文教休闲,37
全国地产,36
IT设备,33
综合类,33
小金属,32
火力发电,32
银行,32
煤炭开采,29
多元金融,29
工程机械,28
供气供热,28
其他建材,28
农业综合,27
普钢,25
医药商业,25
化纤,25
造纸,25
装修装饰,25
铝,25
航空,24
钢加工,23
汽车整车,23
出版业,23
染料涂料,21
水泥,21
商贸代理,21
水力发电,21
运输设备,19
港口,19
路桥,19
石油开采,18
玻璃,18
白酒,18
矿物制品,17
饲料,17
园区开发,15
种植业,14
铜,13
机床制造,13
黄金,13
其他商业,13
铅锌,13
新型电力,12
旅游服务,12
橡胶,12
旅游景点,12
水运,12
乳制品,12
汽车服务,11
水务,11
超市连锁,11
化工机械,10
纺织机械,10
日用化工,10
红黄酒,10
轻工机械,10
电信运营,9
农用机械,9
酒店餐饮,9
特种钢,8
公共交通,8
渔业,8
石油加工,8
空运,8
批发业,7
船舶,7
房产服务,7
石油贸易,7
啤酒,7
公路,7
保险,7
摩托车,7
焦炭加工,7
陶瓷,6
软饮料,6
铁路,4
林业,4
机场,4
商品城,3
电器连锁,2
