name,value
软件服务,159
电气设备,142
元器件,135
化工原料,128
专用机械,102
汽车配件,101
通信设备,89
化学制药,82
建筑工程,73
区域地产,66
互联网,65
中成药,64
机械基件,60
环境保护,60
医疗保健,55
电器仪表,53
食品,52
服饰,50
影视音像,44
半导体,44
证券,43
百货,42
农药化肥,41
家用电器,39
生物制药,37
塑料,37
全国地产,35
纺织,33
银行,32
火力发电,32
广告包装,31
综合类,31
小金属,31
文教休闲,30
多元金融,29
煤炭开采,29
仓储物流,29
工程机械,28
IT设备,26
其他建材,25
普钢,25
农业综合,24
医药商业,24
家居用品,24
化纤,23
汽车整车,23
铝,23
装修装饰,23
供气供热,22
造纸,22
水泥,21
商贸代理,21
钢加工,21
水力发电,21
航空,20
港口,18
白酒,18
出版业,18
路桥,18
玻璃,17
石油开采,16
园区开发,15
染料涂料,15
矿物制品,15
饲料,14
运输设备,14
黄金,13
种植业,13
铅锌,13
旅游服务,12
水运,12
旅游景点,11
铜,11
水务,11
超市连锁,11
汽车服务,11
机床制造,11
红黄酒,10
化工机械,10
轻工机械,10
其他商业,10
新型电力,10
乳制品,10
橡胶,10
纺织机械,9
酒店餐饮,9
特种钢,8
石油加工,8
农用机械,8
渔业,8
公共交通,7
公路,7
批发业,7
啤酒,7
焦炭加工,7
石油贸易,7
电信运营,7
空运,7
船舶,6
房产服务,6
陶瓷,6
日用化工,6
保险,6
摩托车,5
软饮料,4
机场,4
铁路,4
林业,4
商品城,3
电器连锁,2
