name,value
软件服务,174
电气设备,165
元器件,164
化工原料,155
汽车配件,130
专用机械,125
通信设备,109
化学制药,97
建筑工程,85
机械基件,71
中成药,69
环境保护,68
医疗保健,67
互联网,67
区域地产,67
电器仪表,59
服饰,56
食品,55
半导体,50
影视音像,47
百货,43
证券,43
生物制药,43
塑料,43
农药化肥,42
家用电器,40
纺织,38
家居用品,37
广告包装,37
仓储物流,37
文教休闲,37
全国地产,36
综合类,33
小金属,32
银行,32
火力发电,32
IT设备,31
煤炭开采,29
多元金融,29
其他建材,28
工程机械,28
供气供热,27
农业综合,26
普钢,25
医药商业,25
装修装饰,25
造纸,25
铝,24
化纤,24
航空,23
钢加工,23
汽车整车,23
出版业,23
水力发电,21
商贸代理,21
水泥,21
港口,19
路桥,19
染料涂料,19
运输设备,18
白酒,18
玻璃,17
饲料,17
矿物制品,17
石油开采,17
园区开发,15
种植业,14
黄金,13
铅锌,13
铜,13
旅游服务,12
新型电力,12
乳制品,12
旅游景点,12
其他商业,12
机床制造,12
水运,12
橡胶,12
汽车服务,11
水务,11
超市连锁,11
纺织机械,10
轻工机械,10
化工机械,10
红黄酒,10
酒店餐饮,9
农用机械,9
日用化工,9
公共交通,8
特种钢,8
空运,8
石油加工,8
电信运营,8
渔业,8
船舶,7
批发业,7
摩托车,7
石油贸易,7
房产服务,7
焦炭加工,7
公路,7
啤酒,7
陶瓷,6
保险,6
软饮料,6
林业,4
铁路,4
机场,4
商品城,3
电器连锁,2
