name,value
软件服务,169
电气设备,159
元器件,151
化工原料,149
汽车配件,121
专用机械,115
通信设备,99
化学制药,89
建筑工程,81
区域地产,67
中成药,67
互联网,66
环境保护,66
机械基件,65
医疗保健,64
电器仪表,58
食品,56
服饰,55
半导体,48
影视音像,46
证券,43
生物制药,42
百货,42
农药化肥,42
塑料,41
家用电器,39
纺织,37
全国地产,36
广告包装,35
文教休闲,34
仓储物流,34
银行,32
火力发电,32
小金属,32
综合类,32
家居用品,30
多元金融,29
煤炭开采,29
IT设备,28
工程机械,28
农业综合,26
其他建材,26
医药商业,25
普钢,25
铝,25
供气供热,25
装修装饰,24
化纤,23
造纸,23
汽车整车,23
钢加工,22
出版业,21
水力发电,21
商贸代理,21
水泥,21
航空,20
路桥,19
染料涂料,19
港口,19
白酒,18
玻璃,17
矿物制品,17
石油开采,17
运输设备,16
饲料,15
园区开发,15
种植业,14
黄金,13
铅锌,13
其他商业,12
旅游服务,12
水运,12
新型电力,12
水务,11
汽车服务,11
旅游景点,11
橡胶,11
超市连锁,11
乳制品,11
铜,11
轻工机械,10
机床制造,10
化工机械,10
纺织机械,10
红黄酒,10
农用机械,9
酒店餐饮,9
特种钢,8
渔业,8
石油加工,8
公共交通,8
空运,7
日用化工,7
电信运营,7
焦炭加工,7
船舶,7
批发业,7
石油贸易,7
啤酒,7
公路,7
房产服务,6
摩托车,6
保险,6
陶瓷,6
软饮料,5
林业,4
铁路,4
机场,4
商品城,3
电器连锁,2
