Feature,Weight,Std
PA2,0.010361413588082069,0.0001454441917100404
PA24,0.00750885162669519,0.00018221900857754258
PA13,0.006941011423608834,0.00016144092422465164
PA1,0.006319727436702549,0.0002229717318228374
PA9,0.005531431625359096,0.0003350908198005064
PA19,0.005177366557552299,0.0002630104841342865
PA17,0.004903467165475339,0.00010435232381463966
PA11,0.004141893246041839,0.00020372704498598576
PA14,0.0034270826374507733,0.00016979444220907285
PA10,0.003407041218518292,0.00031119820158601464
PA16,0.0030529761507114726,0.00024870746835440737
PA12,0.00301957378582407,0.00027103297180974345
PA21,0.0028592424343643953,0.00018000125038821277
PA3,0.0027189525018371575,8.607187338316575e-05
PA18,0.0026788696639722387,0.00010854483806048454
PA20,0.0024049702718953016,0.00011950393359610176
PA6,0.002157792771728273,0.0001848934798997718
PA7,0.0019440176364487138,0.00016144092422467276
PA22,0.001870532433696348,0.0001231818352233884
PA4,0.0018037277039214539,0.00010562755228031742
PA23,0.001483065001002104,0.00012953917716391596
PA8,0.0010955975683078823,0.00022496436957023146
PA15,0.0010555147304429414,0.00016171712788975483
PA5,0.0010154318925780226,0.00012780497340977954
