en,zh,var
assets_turn,总资产周转率,X507
turn_days,营业周期,X508
total_fa_trun,固定资产合计周转率,X509
eps,基本每股收益,X601
dt_eps,稀释每股收益,X602
total_revenue_ps,每股营业总收入,X603
revenue_ps,每股营业收入,X604
capital_rese_ps,每股资本公积,X605
surplus_rese_ps,每股盈余公积,X606
undist_profit_ps,每股未分配利润,X607
diluted2_eps,期末摊薄每股收益,X608
bps,每股净资产,X609
ocfps,每股经营活动产生的现金流量净额,X610
retainedps,每股留存收益,X611
cfps,每股现金流量净额,X612
ebit_ps,每股息税前利润,X613
fcff_ps,每股企业自由现金流量,X614
fcfe_ps,每股股东自由现金流量,X615
q_eps,每股收益(单季度),X616
basic_eps_yoy,基本每股收益同比增长率(%),X617
dt_eps_yoy,稀释每股收益同比增长率(%),X618
cfps_yoy,每股经营活动产生的现金流量净额同比增长率(%),X619
fcff,企业自由现金流量,X701
fcfe,股权自由现金流量,X702
q_salescash_to_or,销售商品提供劳务收到的现金／营业收入(单季度),X703
q_ocf_to_sales,经营活动产生的现金流量净额／营业收入(单季度),X704
q_ocf_to_or,经营活动产生的现金流量净额／经营活动净收益(单季度),X705
