ts_code,ann_date,end_date,audit_result,audit_agency,audit_sign
000048.SZ,20130426,20121231,保留意见,国富浩华会计师事务所,"管盛春,丁海芳"
000049.SZ,20110428,20101231,带强调事项段的无保留意见,立信大华会计师事务所,"刘耀辉,陈葆华"
000056.SZ,20130419,20121231,带强调事项段的无保留意见,立信会计师事务所,"胡春元,巫扬华"
000056.SZ,20120420,20111231,保留意见,中审国际会计师事务所,"谢军,丁伟萍"
000056.SZ,20110426,20101231,保留意见,利安达会计师事务所,
000056.SZ,20100428,20091231,带强调事项段的无保留意见,利安达会计师事务所,"杨敢林,罗时东"
000061.SZ,20100422,20091231,带强调事项段的无保留意见,深圳南方民和会计师事务所,"唐乐民,周武重"
000068.SZ,20130326,20121231,带强调事项段的无保留意见,大华会计师事务所,"杨熹,辛均亮"
000068.SZ,20120316,20111231,带强调事项段的无保留意见,立信大华会计师事务所,"李旭冬,张朝铖"
000068.SZ,20110322,20101231,带强调事项段的无保留意见,立信大华会计师事务所,"张朝铖,李旭冬"
000068.SZ,20100331,20091231,无法表示意见,立信大华会计师事务所,"李旭冬,杨熹"
000078.SZ,20100417,20091231,带强调事项段的无保留意见,中审亚太会计师事务所,"张新万,高正群"
000155.SZ,20160429,20151231,无法表示意见,四川华信(集团)会计师事务所,"唐方模,何寿福"
000155.SZ,20150430,20141231,带强调事项段的无保留意见,四川华信(集团)会计师事务所,"武兴田,何寿福"
000156.SZ,20120802,20120630,带强调事项段的无保留意见,天健会计师事务所,"李永利,赵娇"
000156.SZ,20120313,20111231,带强调事项段的无保留意见,天健会计师事务所,"李永利,赵骄"
000156.SZ,20110819,20110331,带强调事项段的无保留意见,天健会计师事务所,
000156.SZ,20110315,20101231,带强调事项段的无保留意见,天健会计师事务所,"李永利,申端华"
000156.SZ,20100209,20091231,带强调事项段的无保留意见,天健会计师事务所,"李永利,申端华"
000403.SZ,20190425,20181231,带强调事项段的无保留意见,大华会计师事务所,"张俊峰,沈秀云"
000403.SZ,20180426,20171231,带强调事项段的无保留意见,致同会计师事务所,"倪军,党小民"
000403.SZ,20170426,20161231,带强调事项段的无保留意见,致同会计师事务所,"王玉才,肖晓燕"
000403.SZ,20160427,20151231,带强调事项段的无保留意见,致同会计师事务所,"王增民,王玉才"
000403.SZ,20150430,20141231,带强调事项段的无保留意见,致同会计师事务所,"王玉才,王增民"
000403.SZ,20140430,20131231,带强调事项段的无保留意见,致同会计师事务所,"王玉才,王增民"
000403.SZ,20130427,20121231,带强调事项段的无保留意见,致同会计师事务所,"梁青民,王增民"
000403.SZ,20110430,20101231,无法表示意见,天健正信会计师事务所,"肖晓燕,穆海蓉"
000403.SZ,20100429,20091231,带强调事项段的无保留意见,天健正信会计师事务所,"梁青民,王中心"
000408.SZ,20190430,20181231,保留意见,瑞华会计师事务所,"张冲良,潘守卫"
000408.SZ,20160427,20151231,带强调事项段的无保留意见,大信会计师事务所,"谢青,邹宏文"
000408.SZ,20100427,20091231,带强调事项段的无保留意见,中磊会计师事务所,"王越,张君"
000409.SZ,20180622,20171231,保留意见,中审亚太会计师事务所,"解乐,李家忠"
000409.SZ,20110429,20101231,带强调事项段的无保留意见,立信大华会计师事务所,"刘高科,高德惠"
000409.SZ,20100427,20091231,带强调事项段的无保留意见,立信大华会计师事务所,"刘高科,刘耀辉"
000410.SZ,20190429,20181231,带强调事项段的无保留意见,大华会计师事务所,"周龙,李甜甜"
000422.SZ,20180421,20171231,带强调事项段的无保留意见,大信会计师事务所,"李朝鸿,汤萍"
000430.SZ,20110125,20101231,带强调事项段的无保留意见,天职国际会计师事务所,"张嘉,张琪"
000430.SZ,20100205,20091231,带强调事项段的无保留意见,天职国际会计师事务所,"刘宇科,王军"
000498.SZ,20120331,20111231,带强调事项段的无保留意见,利安达会计师事务所,"凌运良,张昌利"
000498.SZ,20110426,20101231,带强调事项段的无保留意见,利安达会计师事务所,"凌运良,楚三平"
000498.SZ,20100427,20091231,带强调事项段的无保留意见,立信大华会计师事务所,"李旭冬,马宁"
000504.SZ,20190430,20181231,带强调事项段的无保留意见,天健会计师事务所,"魏五军,蒋玲玲"
000504.SZ,20180428,20171231,带强调事项段的无保留意见,天健会计师事务所,"魏五军,姜丰丰"
000504.SZ,20170421,20161231,带强调事项段的无保留意见,天健会计师事务所,"魏五军,姜丰丰"
000504.SZ,20160425,20151231,带强调事项段的无保留意见,天健会计师事务所,"魏五军,姜丰丰"
000504.SZ,20150421,20141231,带强调事项段的无保留意见,天健会计师事务所,"魏五军,姜丰丰"
000504.SZ,20140430,20131231,带强调事项段的无保留意见,利安达会计师事务所,"汪应华,许长英"
000505.SZ,20160425,20151231,带强调事项段的无保留意见,中兴华会计师事务所,"刘炼,马国栋"
000506.SZ,20190427,20181231,保留意见,立信会计师事务所,"强桂英,李永江"
000506.SZ,20180427,20171231,保留意见,中汇会计师事务所,"沈大智,马敬举"
000506.SZ,20170429,20161231,保留意见,中汇会计师事务所,"路春霞,王玉霜"
000509.SZ,20190420,20181231,带强调事项段的无保留意见,大信会计师事务所,"王文春,龚荣华"
000509.SZ,20130426,20121231,保留意见,大信会计师事务所,"王文春,刘涛"
000509.SZ,20120424,20111231,带强调事项段的无保留意见,大信会计师事务所,"龚荣华,王文春"
000509.SZ,20110423,20101231,带强调事项段的无保留意见,大信会计师事务所,"龚荣华,王文春"
000509.SZ,20100322,20091231,带强调事项段的无保留意见,信永中和会计师事务所,"蒋洪庆,罗东先"
000514.SZ,20120225,20111231,带强调事项段的无保留意见,天健正信会计师事务所,"张凯,唐明"
000518.SZ,20190416,20181231,带强调事项段的无保留意见,中审众环会计师事务所,"秦晋臣,何燕姣"
000518.SZ,20170429,20161231,带强调事项段的无保留意见,立信会计师事务所,"诸旭敏,刘婷"
000518.SZ,20160429,20151231,带强调事项段的无保留意见,立信会计师事务所,"诸旭敏,葛晨煜"
000518.SZ,20120427,20111231,保留意见,立信会计师事务所,"诸旭敏,束哲民"
000520.SZ,20180425,20171231,带强调事项段的无保留意见,信永中和会计师事务所,"周海涛,肖华萍"
000520.SZ,20140430,20131231,带强调事项段的无保留意见,信永中和会计师事务所,"周海涛,提汝明"
000520.SZ,20130424,20121231,带强调事项段的无保留意见,信永中和会计师事务所,"周海涛,提汝明"
000520.SZ,20120425,20111231,带强调事项段的无保留意见,信永中和会计师事务所,"潘敏,叶胜平"
000526.SZ,20160429,20151231,带强调事项段的无保留意见,利安达会计师事务所,"白漫,石卫红"
000526.SZ,20150427,20141231,带强调事项段的无保留意见,利安达会计师事务所,"白漫,石卫红"
000526.SZ,20140430,20131231,带强调事项段的无保留意见,利安达会计师事务所,"周阿春,徐夏南"
000526.SZ,20130420,20121231,带强调事项段的无保留意见,利安达会计师事务所,"周阿春,徐夏南"
000526.SZ,20120425,20111231,带强调事项段的无保留意见,利安达会计师事务所,"周阿春,刘冬祥"
000526.SZ,20110426,20101231,带强调事项段的无保留意见,利安达会计师事务所,"周阿春,刘冬祥"
000526.SZ,20100426,20091231,带强调事项段的无保留意见,利安达会计师事务所,"周阿春,徐夏南"
000533.SZ,20190430,20181231,保留意见,大华会计师事务所,"洪梅生,樊莉"
000536.SZ,20190430,20181231,保留意见,福建华兴会计师事务所,"江叶瑜,叶如意"
000545.SZ,20130424,20121231,带强调事项段的无保留意见,立信会计师事务所,"王建民,黄韶英"
000545.SZ,20120426,20111231,带强调事项段的无保留意见,立信会计师事务所,"陈雄溢,王建民"
000545.SZ,20110427,20101231,带强调事项段的无保留意见,立信羊城会计师事务所,"陈雄溢,王建民"
000555.SZ,20131028,20130930,带强调事项段的无保留意见,中兴财光华会计师事务所,"杨海龙,李鑫"
000555.SZ,20130426,20121231,带强调事项段的无保留意见,中磊会计师事务所,"张晓萌,李晖"
000555.SZ,20120424,20111231,带强调事项段的无保留意见,中磊会计师事务所,"郭莉莉,李晖"
000555.SZ,20110426,20101231,带强调事项段的无保留意见,中磊会计师事务所,"江亮春,郭莉莉"
000555.SZ,20100427,20091231,带强调事项段的无保留意见,中磊会计师事务所,"江亮春,郭莉莉"
000557.SZ,20190429,20181231,保留意见,信永中和会计师事务所,"司建军,祁恪新"
000557.SZ,20150729,20150630,带强调事项段的无保留意见,希格玛会计师事务所,"蔡爱芳,罗宗礼"
000557.SZ,20150304,20141231,带强调事项段的无保留意见,希格玛会计师事务所,"罗宗礼,王斌"
000557.SZ,20140828,20140630,带强调事项段的无保留意见,希格玛会计师事务所,"罗宗礼,王斌"
000557.SZ,20140429,20131231,带强调事项段的无保留意见,希格玛会计师事务所,"罗宗礼,王斌"
000557.SZ,20130426,20121231,带强调事项段的无保留意见,希格玛会计师事务所,"王斌,罗宗礼"
000557.SZ,20120424,20111231,无法表示意见,希格玛会计师事务所,"罗宗礼,王斌"
000557.SZ,20110428,20101231,无法表示意见,希格玛会计师事务所,"邱程红,王斌"
000557.SZ,20100421,20091231,无法表示意见,中勤万信会计师事务所,"王永新,刘汉军"
000567.SZ,20140419,20131231,带强调事项段的无保留意见,立信会计师事务所,"刘志红,杨晋峰"
000567.SZ,20130420,20121231,带强调事项段的无保留意见,中准会计师事务所,"刘昆,赵德权"
000568.SZ,20150331,20141231,带强调事项段的无保留意见,四川华信(集团)会计师事务所,"唐方模,李武林"
000571.SZ,20190429,20181231,无法表示意见,立信会计师事务所,"李进华,朱建清,朱美荣"
000571.SZ,20180427,20171231,带强调事项段的无保留意见,立信会计师事务所,"刘泽波,朱建清"
000585.SZ,20190329,20181231,带强调事项段的无保留意见,瑞华会计师事务所,"刘仁芝,徐碧文"
000585.SZ,20180330,20171231,带强调事项段的无保留意见,瑞华会计师事务所,"刘仁芝,辛自华"
000587.SZ,20190430,20181231,保留意见,大信会计师事务所,"闫秀敏,曹斌"
000587.SZ,20110402,20101231,带强调事项段的无保留意见,利安达会计师事务所,"曹如鹏,隋国军"
000587.SZ,20100427,20091231,带强调事项段的无保留意见,利安达会计师事务所,"王日宇,隋国君"
000590.SZ,20120730,20120630,带强调事项段的无保留意见,天职国际会计师事务所,"刘宇科,陈志红"
000590.SZ,20120418,20111231,保留意见,天职国际会计师事务所,"康顺平,陈志红"
000590.SZ,20110415,20101231,保留意见,天职国际会计师事务所,"刘宇科,陈志红"
000590.SZ,20100430,20091231,保留意见,天职国际会计师事务所,"刘宇科,陈志红"
000595.SZ,20170328,20161231,带强调事项段的无保留意见,信永中和会计师事务所,"李耀忠,常瑛"
000595.SZ,20160312,20151231,带强调事项段的无保留意见,信永中和会计师事务所,"李耀忠,常瑛"
